treat,y
0,0.0221149759
0,0.0
1,0.2912226851
1,0.05978
1,0.0916228999
0,0.0922640684999999
1,0.1184609999
1,0.3111758998
0,0.8483956792999999
0,4.559122433100001
1,0.6041671612
1,0.4432576156421392
1,0.0
0,0.0946110057
0,0.2061447508999999
1,0.0
0,0.0
0,0.0336299306486048
1,0.8105525419000003
1,0.4962153308
1,0.2048570625
0,0.05511
1,0.010701235294342
1,0.0
1,2.8245599999
0,0.0
1,0.4870735237
0,0.2130487345
1,0.2590281954
1,0.1986879999
0,0.0728618999
0,0.2198968023999999
0,0.4329931103
1,0.7865938248946756
1,0.0471552469
0,0.7914210000000002
0,0.0
1,1.5230058152
0,0.1545799999
1,0.227156698
0,1.196285961131886
0,0.6445544559
0,0.421616417
0,0.145129
0,0.0
0,0.0
0,0.0
1,1.1195698223
1,0.4453138480999999
0,0.0
1,0.6396988872000001
0,0.0
0,0.0892804201
1,0.522058066
1,0.0584999999999999
0,0.1024432399
0,0.2196687207
0,0.9869669176
1,0.0
0,0.0
1,0.4506108024
0,0.4886208236
1,0.2854119998
1,0.1431597949
1,0.1845699999999999
1,0.0
1,4.984185306300001
0,0.0470345859999999
0,0.6999344005
1,0.4192939999
1,0.1227509998
0,0.012239
0,0.2966441689999999
0,0.5677679143000001
0,0.0
0,0.1106429999
1,0.0242930125312957
0,0.0580762299
1,0.2479599998
1,1.5495612677795805
0,0.0636299998
1,1.0477896867999998
1,0.0540842259330162
0,0.1133717459
1,0.279
1,0.011332
1,0.0314827096
0,0.07
0,0.0334808376
0,1.0907059997
0,0.010456288
1,0.0
1,0.6519019989999999
0,0.0890749929999999
0,0.0208628229
0,5.332888103999999
0,0.8099730706
1,0.4781837333
1,1.9751330951
0,0.0
0,0.0441661612
0,1.6439672797
1,0.1171768580535888
0,0.006216
1,0.4836596567
1,0.013222553
0,0.555480815
1,0.8507627999999999
1,0.0
0,0.0
0,0.04649
1,0.027875
1,0.2267302989
1,0.4882108286
1,0.3340905234
1,0.0216
1,0.0908541774749756
1,0.2601760347999999
0,0.0
0,1.3664792590000003
1,0.02856
1,1.6363814728000003
1,0.1140514862
0,0.0
1,0.0
0,0.0243855430999999
0,0.0
0,0.0
1,0.3876180193
0,0.0778634513
1,0.2118337089999999
0,0.0316199999999999
0,0.047944
1,0.3824366903820251
0,0.0
1,0.03
0,0.041397743
0,0.0035413503
1,0.0
0,0.0
1,0.0
0,0.4249709439
1,0.0
0,0.3759818028
0,0.0
1,0.0770122655
0,0.005201
0,0.0
1,0.22642348
0,0.0
1,0.1268560999
1,0.0
0,0.8388754606
1,0.0
0,0.191629
1,0.0
1,0.0
1,0.0783109999999999
0,0.0
1,0.0
1,0.0
1,0.0
0,0.092890249
1,0.0
0,0.3413079383999999
0,0.0
1,0.0
1,0.0
0,0.0
1,0.0
1,0.0
0,0.0
0,0.0
1,0.0
1,0.08262
0,0.0
0,0.0
1,0.0
1,0.0
1,0.0
1,0.0
1,2.021803472352144
1,0.2433413125
1,0.6517757929
1,0.1906582446
